CAD Net,X1 (in),Y1 (in),X2 (in),Y2 (in),Width (in),Layer,Xarc (in),Yarc (in),Radius (in)
SDADC16,31.208076,16.483531,31.351427,16.34018,0.009842,"Top Layer",,,
SDADC16,31.446764,16.34018,31.495984,16.3894,0.009842,"Top Layer",,,
SDADC16,31.351427,16.34018,31.446764,16.34018,0.009842,"Top Layer",,,
NetR3_1,31.02559,15.841726,31.244175,16.06031,0.009842,"Top Layer",,,
NetR3_1,31.068882,16.344337,31.244175,16.169044,0.009842,"Top Layer",,,
NetR3_1,31.244175,16.06031,31.244175,16.169044,0.009842,"Top Layer",,,
NetR5_1,31.082801,16.358256,31.263754,16.177303,0.009842,"Top Layer",,,
NetR5_1,31.043307,15.834387,31.263754,16.054834,0.009842,"Top Layer",,,
NetR5_1,31.263754,16.054834,31.263754,16.177303,0.009842,"Top Layer",,,
NetR3_1,31.02559,15.814248,31.02559,15.841726,0.009842,"Top Layer",,,
NetR5_1,31.043307,15.813973,31.043307,15.834387,0.009842,"Top Layer",,,
DRIVE4,30.644531,16.091106,30.77869,16.091106,0.007874,"Top Layer",,,
DRIVE4,30.304706,16.294612,30.441025,16.294612,0.007874,"Top Layer",,,
DRIVE4,30.441025,16.294612,30.644531,16.091106,0.007874,"Top Layer",,,
DRIVE5,30.304706,16.344612,30.415867,16.344612,0.007874,"Top Layer",,,
DRIVE5,30.653625,16.106854,30.772167,16.106854,0.007874,"Top Layer",,,
DRIVE5,30.415867,16.344612,30.653625,16.106854,0.007874,"Top Layer",,,
DRIVE3,30.305102,16.394215,30.390289,16.394215,0.007874,"Top Layer",,,
DRIVE3,30.661903,16.122602,30.749711,16.122602,0.007874,"Top Layer",,,
DRIVE3,30.390289,16.394215,30.661903,16.122602,0.007874,"Top Layer",,,
DRIVE2,30.671407,16.138754,30.738024,16.138754,0.007874,"Top Layer",,,
DRIVE2,30.304706,16.444612,30.365549,16.444612,0.007874,"Top Layer",,,
DRIVE2,30.365549,16.444612,30.671407,16.138754,0.007874,"Top Layer",,,
DRIVE4,30.77869,16.091106,30.915041,16.227457,0.007874,"Top Layer",,,
DRIVE5,30.772167,16.106854,30.975295,16.309981,0.007874,"Top Layer",,,
DRIVE3,30.749711,16.122602,30.87401,16.246901,0.007874,"Top Layer",,,
DRIVE2,30.738024,16.138754,30.860091,16.26082,0.007874,"Top Layer",,,
DRIVE1,30.681437,16.155282,30.726713,16.155282,0.007874,"Top Layer",,,
DRIVE1,30.726713,16.155282,30.846171,16.274739,0.007874,"Top Layer",,,
DRIVE1,30.473047,16.363672,30.681437,16.155282,0.007874,"Top Layer",,,
DRIVE1,30.473047,16.363672,30.473047,16.363672,0.007874,"Top Layer",,,
DRIVE1,30.342107,16.494612,30.473047,16.363672,0.007874,"Top Layer",,,
DRIVE1,30.304706,16.494612,30.342107,16.494612,0.007874,"Top Layer",,,
DRIVE3,30.304706,16.394612,30.305102,16.394215,0.007874,"Top Layer",,,
3V3,31.754646,17.03874,31.960512,17.03874,0.011811,"Top Layer",,,
3V3,31.734961,17.058425,31.754646,17.03874,0.011811,"Top Layer",,,
2V5,31.887726,17.019055,31.960512,17.019055,0.011811,"Top Layer",,,
2V5,31.880807,17.011181,31.880807,17.012136,0.011811,"Top Layer",,,
2V5,31.880807,17.012136,31.887726,17.019055,0.011811,"Top Layer",,,
3V3,31.749176,16.152765,31.753225,16.148717,0.011811,"Top Layer",,,
3V3,31.733539,16.168402,31.733539,16.168402,0.011811,"Top Layer",,,
3V3,31.733539,16.168402,31.749176,16.152765,0.011811,"Top Layer",,,
5V,33.242268,17.593915,33.324294,17.511889,0.023622,"Top Layer",,,
5V,33.267718,17.045414,33.324294,17.101991,0.023622,"Top Layer",,,
5V,33.324294,17.101991,33.324294,17.511889,0.023622,"Top Layer",,,
5V,33.193124,17.045414,33.267718,17.045414,0.023622,"Top Layer",,,
5V,33.183565,17.593915,33.242268,17.593915,0.023622,"Top Layer",,,
5V,33.182204,17.595275,33.183565,17.593915,0.023622,"Top Layer",,,
24V,32.537756,15.291336,32.537756,15.485295,0.023622,"Top Layer",,,
24V,32.537067,15.425511,32.537067,15.606692,0.031496,"Top Layer",,,
24V,32.536378,15.424822,32.537067,15.425511,0.031496,"Top Layer",,,
24V,32.537067,15.606692,32.537756,15.607381,0.031496,"Top Layer",,,
24V,32.537401,15.290981,32.537756,15.291336,0.023622,"Top Layer",,,
24V,32.541969,15.432618,32.903898,15.432618,0.051181,"Top Layer",,,
NetD1_2,33.135387,15.263632,33.135692,15.263326,0.057087,"Top Layer",,,
NetD1_2,32.903898,15.263326,32.904203,15.263632,0.057087,"Top Layer",,,
NetD1_2,32.904203,15.263632,33.135387,15.263632,0.057087,"Top Layer",,,
NetD1_2,33.135692,15.263326,33.136303,15.263937,0.047244,"Top Layer",,,
VDD,30.94235,16.944129,31.305512,16.580967,0.01,"Top Layer",,,
VDD,30.94235,16.983373,30.971446,17.012469,0.01,"Top Layer",,,
VDD,30.94235,16.944129,30.94235,16.983373,0.01,"Top Layer",,,
VDD,31.355105,16.531348,31.355105,16.531374,0.01,"Top Layer",,,
VDD,31.355105,16.531348,31.355105,16.531348,0.01,"Top Layer",,,
VDD,31.347679,16.527659,31.355105,16.527659,0.01,"Top Layer",,,
VDD,31.274605,16.454584,31.347679,16.527659,0.01,"Top Layer",,,
VDD,31.305512,16.580967,31.355105,16.531374,0.01,"Top Layer",,,
VREFSD+,31.270915,16.655136,31.270915,16.670618,0.009842,"Top Layer",,,
VREFSD+,31.270915,16.655136,31.338724,16.587328,0.009842,"Top Layer",,,
VREFSD+,31.270915,16.670618,31.291593,16.691296,0.009842,"Top Layer",,,
VREFSD+,31.291593,16.691296,31.291593,16.692322,0.009842,"Top Layer",,,
VDD,31.354539,16.733883,31.396987,16.691435,0.01,"Top Layer",,,
VDD,30.903187,16.08548,31.015369,16.197661,0.01,"Top Layer",,,
VDD,30.818332,16.302578,30.819747,16.302578,0.01,"Top Layer",,,
VDD,30.819747,16.302578,30.861035,16.343867,0.01,"Top Layer",,,
VDD,30.861035,16.343867,30.865078,16.343867,0.01,"Top Layer",,,
AUX4-OUT,32.296244,17.035708,32.537008,17.035708,0.009842,"Top Layer",,,
AUX4-OUT,32.537008,17.035708,32.586969,16.985748,0.009842,"Top Layer",,,
AUX4-OUT,32.08274,16.822204,32.296244,17.035708,0.009842,"Top Layer",,,
VDD,30.682805,16.332081,30.767066,16.24782,0.01,"Top Layer",,,
SDADC11,31.434297,16.166839,31.491789,16.109347,0.01,"Top Layer",,,
SDADC11,31.491789,16.109347,31.665197,16.109347,0.01,"Top Layer",,,
SDADC11,31.385574,16.166839,31.434297,16.166839,0.01,"Top Layer",,,
SDADC19,31.428704,16.147154,31.505882,16.069977,0.01,"Top Layer",,,
SDADC19,31.37742,16.147154,31.428704,16.147154,0.01,"Top Layer",,,
SDADC19,31.505882,16.069977,31.665197,16.069977,0.01,"Top Layer",,,
SDADC14,31.472762,16.289351,31.509292,16.325882,0.01,"Top Layer",,,
SDADC14,31.180237,16.455692,31.346578,16.289351,0.01,"Top Layer",,,
SDADC14,31.346578,16.289351,31.472762,16.289351,0.01,"Top Layer",,,
SDADC15,31.194157,16.469611,31.349752,16.314016,0.01,"Top Layer",,,
SDADC15,31.472149,16.314016,31.523385,16.365252,0.01,"Top Layer",,,
SDADC15,31.349752,16.314016,31.472149,16.314016,0.01,"Top Layer",,,
SENSOR2,32.417677,16.431929,32.417677,16.503142,0.009842,"Top Layer",,,
SENSOR2,32.39378,16.527039,32.417677,16.503142,0.009842,"Top Layer",,,
SENSOR1,32.367976,16.546667,32.392087,16.546667,0.009842,"Top Layer",,,
SENSOR1,32.367748,16.546896,32.367976,16.546667,0.009842,"Top Layer",,,
SENSOR1,32.392087,16.546667,32.417677,16.572258,0.009842,"Top Layer",,,
SENSOR1,32.417677,16.572258,32.417677,16.663267,0.009842,"Top Layer",,,
5VFB,32.14271,17.580793,32.405996,17.580793,0.009842,"Top Layer",,,
5VFB,32.426536,17.463937,32.426536,17.560254,0.009842,"Top Layer",,,
5VFB,32.405996,17.580793,32.426536,17.560254,0.009842,"Top Layer",,,
SENSOR9,32.400945,17.695275,32.426536,17.695275,0.009842,"Top Layer",,,
SENSOR9,32.426536,17.621016,32.426536,17.651541,0.009842,"Top Layer",,,
SENSOR9,32.404029,17.59851,32.426536,17.621016,0.009842,"Top Layer",,,
SENSOR9,32.426536,17.651541,32.426536,17.695275,0.009842,"Top Layer",,,
